date,recent_graduates,jobs,lsi
2015-01-01,43.8,204,21.47058823529411764700
2015-02-01,44.4,259,17.14285714285714285700
2015-03-01,45.4,96,47.29166666666666666700
2015-04-01,45.5,273,16.66666666666666666700
2015-05-01,45.6,342,13.33333333333333333300
2015-06-01,45.2,171,26.43274853801169590600
2015-07-01,44.8,282,15.88652482269503546100
2015-08-01,44.5,134,33.20895522388059701500
2015-09-01,43.7,150,29.13333333333333333300
2015-10-01,44.5,304,14.63815789473684210500
2015-11-01,45.3,229,19.78165938864628821000
2015-12-01,46.6,269,17.32342007434944237900
2016-01-01,46.4,133,34.88721804511278195500
2016-02-01,45,197,22.84263959390862944200
2016-03-01,43.8,255,17.17647058823529411800
2016-04-01,43.3,193,22.43523316062176165800
2016-05-01,43.6,45,96.88888888888888888900
2016-06-01,43.3,246,17.60162601626016260200
2016-07-01,43.5,374,11.63101604278074866300
2016-08-01,43.7,142,30.77464788732394366200
2016-09-01,44.2,305,14.49180327868852459000
2016-10-01,43.9,99,44.34343434343434343400
2016-11-01,43.5,117,37.17948717948717948700
2016-12-01,43.9,225,19.51111111111111111100
2017-01-01,44.5,220,20.22727272727272727300
2017-02-01,44.9,220,20.40909090909090909100
2017-03-01,44.5,121,36.77685950413223140500
2017-04-01,44.2,205,21.56097560975609756100
2017-05-01,43.8,206,21.26213592233009708700
2017-06-01,43.2,203,21.28078817733990147800
2017-07-01,42.8,189,22.64550264550264550300
2017-08-01,42.8,147,29.11564625850340136100
2017-09-01,43,88,48.86363636363636363600
2017-10-01,43.6,143,30.48951048951048951000
2017-11-01,43.4,223,19.46188340807174887900
2017-12-01,43.1,150,28.73333333333333333300
2018-01-01,42.2,137,30.80291970802919708000
2018-02-01,41.6,394,10.55837563451776649700
2018-03-01,41.7,226,18.45132743362831858400
2018-04-01,41.9,142,29.50704225352112676100
2018-05-01,41.9,318,13.17610062893081761000
2018-06-01,42,219,19.17808219178082191800
2018-07-01,41.2,61,67.54098360655737704900
2018-08-01,40.8,259,15.75289575289575289600
2018-09-01,40.4,79,51.13924050632911392400
2018-10-01,41,168,24.40476190476190476200
2018-11-01,41.9,91,46.04395604395604395600
2018-12-01,42.5,192,22.13541666666666666700
2019-01-01,42.3,250,16.92000000000000000000
2019-02-01,41.8,6,696.6666666666666700
2019-03-01,41.3,230,17.95652173913043478300
2019-04-01,41.1,298,13.79194630872483221500
2019-05-01,41.5,28,148.2142857142857100
2019-06-01,41.2,218,18.89908256880733945000
2019-07-01,40.9,97,42.16494845360824742300
2019-08-01,40.4,235,17.19148936170212766000
2019-09-01,41.4,194,21.34020618556701030900
2019-10-01,42,95,44.21052631578947368400
2019-11-01,42.6,208,20.48076923076923076900
2019-12-01,41.6,127,32.75590551181102362200
2020-01-01,41.3,236,17.50000000000000000000
2020-02-01,41.4,261,15.86206896551724137900
2020-03-01,41.6,-1397,-2.97780959198282032900
2020-04-01,40.5,-20471,-0.19784084802891895900
2020-05-01,39,2616,1.49082568807339449500
2020-06-01,38.1,4631,0.82271647592312675400
2020-07-01,39.1,1584,2.46843434343434343400
2020-08-01,41.1,1564,2.62787723785166240400
2020-09-01,43,951,4.52155625657202944300
2020-10-01,43.4,691,6.28075253256150506500
2020-11-01,42.3,270,15.66666666666666666700
2020-12-01,40.9,-183,-22.34972677595628415300
2021-01-01,40.3,365,11.04109589041095890400
2021-02-01,40.1,509,7.87819253438113948900
2021-03-01,40.2,824,4.87864077669902912600
2021-04-01,40.5,365,11.09589041095890411000
2021-05-01,40.5,421,9.61995249406175772000
2021-06-01,40.6,796,5.10050251256281407000
2021-07-01,40.7,931,4.37164339419978517700
2021-08-01,41.2,487,8.45995893223819301800
2021-09-01,41.4,466,8.88412017167381974200
2021-10-01,41.6,857,4.85414235705950991800
2021-11-01,41.6,637,6.53061224489795918400
2021-12-01,41.7,575,7.25217391304347826100
2022-01-01,41.6,225,18.48888888888888888900
